DriverName,FastestLap,TheoreticalBest,TotalDrivingTime,TotalLaps,OptimalS1,OptimalS2,OptimalS3,FastestLapAt
GasCan13,00:38.814,00:38.767,1:57:57.183,131,00:05.340,00:25.898,00:07.529,128
Yuval Rosen,00:38.946,00:38.809,6:10:43.783,477,00:05.314,00:25.979,00:07.516,353
yarimalk23,00:39.029,00:38.727,4:28:25.870,344,00:05.338,00:25.861,00:07.528,326
chachacha,00:39.083,00:38.998,1:19:55.560,92,00:05.307,00:26.127,00:07.564,79
Reem Gross,00:39.265,00:39.109,2:30:40.786,165,00:05.322,00:26.253,00:07.534,123
Ori Arish,00:39.586,00:39.032,1:05:01.720,72,00:05.394,00:25.988,00:07.650,70
Daniel Lerman,00:39.681,00:39.561,2:03:51.452,133,00:05.352,00:26.586,00:07.623,76
Hublot,00:39.767,00:39.668,1:34:44.652,101,00:05.337,00:26.668,00:07.663,92
Ido,00:39.769,00:39.657,1:55:06.449,149,00:05.371,00:26.668,00:07.618,124
avieinav,00:39.843,00:39.247,0:30:04.907,37,00:05.375,00:26.100,00:07.772,22
assaf_itz,00:39.847,00:39.667,0:37:22.034,43,00:05.359,00:26.608,00:07.700,41
Player,00:39.868,00:39.796,4:12:01.993,238,00:05.404,00:26.693,00:07.699,159
Idan M,00:39.885,00:39.562,1:13:57.157,78,00:05.430,00:26.298,00:07.834,64
ShimiC,00:39.920,00:39.712,2:54:47.525,177,00:05.374,00:26.675,00:07.663,128
giladheskia,00:39.975,00:39.870,1:17:36.905,91,00:05.399,00:26.807,00:07.664,91
tomerventura,00:39.995,00:39.733,3:04:45.697,194,00:05.433,00:26.703,00:07.597,187
EDF lotem,00:39.999,00:39.655,1:12:02.102,61,00:05.392,00:26.653,00:07.610,63
serbansim,00:40.057,00:40.006,2:09:22.138,161,00:05.410,00:26.996,00:07.600,120
U.V,00:40.061,00:39.867,3:46:04.409,179,00:05.362,00:26.851,00:07.654,173
TAL S,00:40.160,00:40.093,1:19:58.909,97,00:05.389,00:27.018,00:07.686,87
SHAKED,00:40.242,00:40.026,0:41:53.442,44,00:05.390,00:26.995,00:07.641,16
ITZYuval,00:40.280,00:40.034,5:15:07.037,365,00:05.425,00:26.883,00:07.726,269
SirSiriuSoWhy,00:40.285,00:40.156,1:35:33.203,99,00:05.361,00:27.032,00:07.763,72
leviarnon1,00:40.350,00:40.174,1:07:23.967,84,00:05.421,00:27.041,00:07.712,70
avnerico misparico,00:40.417,00:39.192,0:57:25.059,51,00:05.479,00:25.897,00:07.816,4
yarin levi,00:40.487,00:40.178,1:07:29.207,67,00:05.371,00:27.157,00:07.650,66
Yoni Goldberg,00:40.495,00:40.420,2:16:06.309,164,00:05.473,00:27.180,00:07.767,112
Yarin,00:40.515,00:40.278,1:19:27.074,81,00:05.367,00:27.212,00:07.699,38
Lahoh,00:40.563,00:40.337,1:08:59.926,61,00:05.403,00:27.212,00:07.722,47
Guy Bagdasarian,00:40.738,00:40.466,1:02:30.856,77,00:05.451,00:27.275,00:07.740,22
Yudream,00:41.121,00:41.004,0:18:57.855,16,00:05.602,00:27.635,00:07.767,10
DoronV,00:41.124,00:40.836,3:07:35.525,183,00:05.476,00:27.598,00:07.762,135
Gal Raz,00:41.168,00:40.934,0:17:20.926,20,00:05.542,00:27.531,00:07.861,20
MADr1v3r,00:41.187,00:40.801,2:08:25.218,151,00:05.495,00:27.512,00:07.794,137
Shay UZ,00:41.258,00:40.976,1:16:08.693,85,00:05.416,00:27.743,00:07.817,62
Jonathan Gutman,00:41.360,00:41.209,2:33:28.048,157,00:05.479,00:27.819,00:07.911,144
Sagy,00:41.395,00:41.158,0:21:17.351,22,00:05.572,00:27.815,00:07.771,15
Or BMW,00:41.746,00:41.159,0:37:30.070,41,00:05.496,00:27.648,00:08.015,38
Elad Levy,00:41.841,00:41.812,0:14:34.079,14,00:05.658,00:28.324,00:07.830,14
Shimon Okun,00:41.909,00:41.563,0:49:07.507,37,00:05.469,00:28.107,00:07.987,35
Boris Fr,00:41.938,00:41.256,1:57:51.224,109,00:05.534,00:27.766,00:07.956,82
Landzer,00:42.107,00:41.442,1:16:52.393,79,00:05.460,00:28.076,00:07.906,75
isd159159,00:42.470,00:42.158,1:04:23.369,49,00:05.862,00:28.399,00:07.897,23
ZeBigLOL,00:42.836,00:41.905,2:20:19.030,121,00:05.433,00:28.529,00:07.943,92
T.K,00:42.914,00:42.585,0:15:45.926,13,00:05.735,00:28.525,00:08.325,7
THE GM,00:42.971,00:42.777,0:19:06.310,14,00:05.832,00:28.841,00:08.104,7
Etz,00:43.020,00:39.725,4:59:34.274,213,00:05.614,00:25.939,00:08.172,14
johnny aberzel,00:43.320,00:41.738,1:55:01.605,110,00:05.417,00:28.346,00:07.975,101
YTS01,00:43.519,00:42.810,0:39:02.570,33,00:05.779,00:28.818,00:08.213,31
Daniel Malka,00:43.806,00:42.908,0:31:48.073,27,00:05.746,00:28.962,00:08.200,25
tehhaggis,00:43.809,00:43.157,0:23:36.856,25,00:05.879,00:29.079,00:08.199,22
OrionG,00:43.828,00:43.507,0:30:18.772,20,00:05.834,00:29.240,00:08.433,15
FatmaHyper,00:44.339,00:44.214,0:37:01.774,31,00:05.969,00:29.758,00:08.487,20
Yosi Y,00:44.359,00:42.881,0:26:55.565,27,00:05.743,00:28.746,00:08.392,22
SyNoXe,00:44.759,00:44.002,0:14:51.728,17,00:05.976,00:29.912,00:08.114,13
neoray sw,00:46.810,00:42.814,0:12:14.753,12,00:06.139,00:27.837,00:08.838,9
orenosadon,00:53.153,00:51.970,0:07:38.485,3,00:09.666,00:33.034,00:09.270,2
Kiril,01:15.587,01:15.587,0:01:15.587,1,00:33.697,00:32.332,00:09.558,1
Y.Cohen,00:39.215,00:39.144,5:43:14.931,444,00:05.341,00:26.266,00:07.537,357
Ariel,00:40.255,00:40.026,1:00:27.100,71,00:05.409,00:26.959,00:07.658,39
ElioR_Alkobi,00:41.812,00:41.542,1:21:32.428,60,00:05.672,00:28.004,00:07.866,35
