DriverName,LapNum,Timestamp,LapTime,LapTimeMins,S1,S2,S3,S1Mins,S2Mins,S3Mins
assaf_itz,14,1682780458,40442,00:40.442,5437,27176,7829,00:05.437,00:27.176,00:07.829
Ido,88,1682786267,40444,00:40.444,5416,27158,7870,00:05.416,00:27.158,00:07.870
TAL S,41,1682752411,40444,00:40.444,5493,27152,7799,00:05.493,00:27.152,00:07.799
Ido,132,1682790442,40445,00:40.445,5471,27104,7870,00:05.471,00:27.104,00:07.870
assaf_itz,22,1682780870,40448,00:40.448,5393,27253,7802,00:05.393,00:27.253,00:07.802
Y.Cohen,111,1682681572,40451,00:40.451,5459,27343,7649,00:05.459,00:27.343,00:07.649
U.V,148,1682683608,40452,00:40.452,5442,27193,7817,00:05.442,00:27.193,00:07.817
tomerventura,133,1682798526,40453,00:40.453,5493,27260,7700,00:05.493,00:27.260,00:07.700
Y.Cohen,331,1682781956,40454,00:40.454,5458,27032,7964,00:05.458,00:27.032,00:07.964
assaf_itz,32,1682783174,40454,00:40.454,5440,27166,7848,00:05.440,00:27.166,00:07.848
Ido,126,1682789849,40456,00:40.456,5442,27243,7771,00:05.442,00:27.243,00:07.771
ShimiC,166,1682785360,40456,00:40.456,5478,27314,7664,00:05.478,00:27.314,00:07.664
Ido,94,1682786557,40457,00:40.457,5475,27189,7793,00:05.475,00:27.189,00:07.793
ShimiC,92,1682706107,40457,00:40.457,5578,27167,7712,00:05.578,00:27.167,00:07.712
Daniel Lerman,27,1682700204,40458,00:40.458,5452,27329,7677,00:05.452,00:27.329,00:07.677
chachacha,27,1682589868,40459,00:40.459,5400,26783,8276,00:05.400,00:26.783,00:08.276
Yuval Rosen,220,1682727774,40459,00:40.459,5422,26987,8050,00:05.422,00:26.987,00:08.050
Yuval Rosen,471,1682801726,40460,00:40.460,5324,26667,8469,00:05.324,00:26.667,00:08.469
Yuval Rosen,116,1682611396,40461,00:40.461,5415,26882,8164,00:05.415,00:26.882,00:08.164
EDF lotem,9,1682588724,40462,00:40.462,5826,26950,7686,00:05.826,00:26.950,00:07.686
Hublot,97,1682793357,40462,00:40.462,5394,27215,7853,00:05.394,00:27.215,00:07.853
Ido,78,1682785150,40465,00:40.465,5509,27095,7861,00:05.509,00:27.095,00:07.861
Y.Cohen,2,1682538310,40467,00:40.467,5484,27206,7777,00:05.484,00:27.206,00:07.777
U.V,58,1682619667,40468,00:40.468,5503,27248,7717,00:05.503,00:27.248,00:07.717
tomerventura,65,1682794674,40468,00:40.468,5651,27108,7709,00:05.651,00:27.108,00:07.709
Daniel Lerman,108,1682751187,40468,00:40.468,5431,27274,7763,00:05.431,00:27.274,00:07.763
yarimalk23,127,1682634232,40469,00:40.469,6040,26788,7641,00:06.040,00:26.788,00:07.641
