DriverName,FastestLap,TheoreticalBest,TotalDrivingTime,TotalLaps,OptimalS1,OptimalS2,OptimalS3,FastestLapAt
GasCan13,01:20.129,01:20.093,2:42:52.845,79,00:20.631,00:22.877,00:36.585,79
chachacha,01:20.413,01:20.251,1:23:05.776,52,00:20.554,00:22.927,00:36.770,26
Yuval Rosen,01:20.604,01:20.526,3:39:39.105,125,00:20.636,00:23.130,00:36.760,112
yarimalk23,01:20.718,01:20.626,6:50:59.113,238,00:20.651,00:23.184,00:36.791,232
Daniel Lerman,01:20.923,01:20.918,1:24:26.160,28,00:20.969,00:23.197,00:36.752,28
AryeMorZ,01:21.185,01:21.120,0:42:05.103,23,00:20.820,00:23.329,00:36.971,13
Elad Levy,01:21.777,01:21.660,3:32:23.403,109,00:20.959,00:23.315,00:37.386,106
Ori Arish,01:21.930,01:21.840,0:52:44.750,28,00:20.986,00:23.611,00:37.243,28
U.V,01:22.186,01:21.645,3:37:52.448,93,00:21.098,00:23.494,00:37.053,86
Ido,01:22.613,01:22.261,1:15:53.295,46,00:20.926,00:23.909,00:37.426,40
OmriF,01:22.746,01:22.219,5:25:53.283,164,00:20.996,00:23.468,00:37.755,129
leviarnon1,01:22.935,01:22.507,1:14:06.207,46,00:21.068,00:24.057,00:37.382,35
Michael Simon,01:23.058,01:22.509,0:53:31.214,27,00:20.962,00:24.048,00:37.499,22
Hublot,01:23.112,01:22.552,1:39:46.842,38,00:21.109,00:23.949,00:37.494,32
Ariel Eric Iziyaev,01:23.541,01:23.302,1:46:47.321,49,00:21.165,00:24.260,00:37.877,49
Landzer,01:23.586,01:23.295,1:54:16.749,64,00:21.159,00:24.472,00:37.664,45
serbansim,01:23.772,01:23.196,1:30:15.896,58,00:21.337,00:24.202,00:37.657,49
A.C,01:24.002,01:23.399,0:28:34.837,16,00:21.136,00:24.247,00:38.016,4
THELORDOFSPEED,01:24.909,01:23.884,0:23:21.374,12,00:21.514,00:24.314,00:38.056,11
DoronV,01:25.048,01:24.571,2:21:07.259,68,00:21.554,00:24.754,00:38.263,61
MarkZubarev,01:25.272,01:25.272,0:16:20.460,10,00:21.605,00:25.075,00:38.592,10
Etz,01:25.390,01:24.255,7:16:32.455,181,00:21.399,00:24.917,00:37.939,148
tehhaggis,01:25.904,01:25.585,0:57:12.085,33,00:21.806,00:25.156,00:38.623,26
lavie.aviv,01:25.985,01:25.169,1:46:20.812,52,00:21.612,00:24.997,00:38.560,29
Guy Bagdasarian,01:26.362,01:25.710,0:14:18.199,7,00:22.278,00:24.624,00:38.808,5
Sean Arbiv,01:26.476,01:25.415,0:30:48.321,15,00:21.662,00:25.300,00:38.453,8
ShimiC,01:26.753,01:26.527,0:23:18.123,10,00:21.602,00:26.100,00:38.825,6
THE GM,01:29.557,01:29.202,0:56:17.442,27,00:22.413,00:27.347,00:39.442,24
ElioR_Alkobi,01:30.394,01:29.831,0:18:45.953,10,00:22.615,00:27.603,00:39.613,10
OrionG,01:30.928,01:30.909,0:23:01.083,11,00:23.703,00:26.936,00:40.270,11
KirilikBot,01:31.125,01:29.386,0:32:17.518,18,00:22.134,00:27.620,00:39.632,13
SyNoXe,01:35.959,01:33.939,0:19:00.451,7,00:22.991,00:28.886,00:42.062,4
PickyMouse,01:49.256,01:49.256,0:04:51.192,2,00:31.015,00:33.701,00:44.540,2
Player,01:56.360,01:50.114,0:09:37.406,4,00:28.791,00:34.830,00:46.493,3
yehuda,02:24.212,02:24.212,0:02:24.212,1,00:50.397,00:38.159,00:55.656,1
Y.Cohen,01:21.775,01:21.633,2:01:21.392,78,00:20.970,00:23.480,00:37.183,58
