DriverName,LapNum,Timestamp,LapTime,LapTimeMins,S1,S2,S3,S1Mins,S2Mins,S3Mins
GasCan13,79,1682192421,80129,01:20.129,20631,22877,36621,00:20.631,00:22.877,00:36.621
GasCan13,53,1682190148,80385,01:20.385,20710,23090,36585,00:20.710,00:23.090,00:36.585
chachacha,26,1682153972,80413,01:20.413,20554,23049,36810,00:20.554,00:23.049,00:36.810
GasCan13,74,1682192000,80476,01:20.476,20684,22996,36796,00:20.684,00:22.996,00:36.796
chachacha,50,1682196972,80495,01:20.495,20668,22927,36900,00:20.668,00:22.927,00:36.900
GasCan13,36,1682188706,80591,01:20.591,20759,23148,36684,00:20.759,00:23.148,00:36.684
Yuval Rosen,112,1682195193,80604,01:20.604,20636,23135,36833,00:20.636,00:23.135,00:36.833
GasCan13,78,1682192341,80630,01:20.630,20726,23077,36827,00:20.726,00:23.077,00:36.827
chachacha,4,1681986780,80700,01:20.700,20764,23044,36892,00:20.764,00:23.044,00:36.892
chachacha,38,1682195943,80701,01:20.701,20666,23095,36940,00:20.666,00:23.095,00:36.940
yarimalk23,232,1682177382,80718,01:20.718,20651,23207,36860,00:20.651,00:23.207,00:36.860
chachacha,8,1681987359,80744,01:20.744,20665,23144,36935,00:20.665,00:23.144,00:36.935
chachacha,52,1682197138,80755,01:20.755,20653,23081,37021,00:20.653,00:23.081,00:37.021
chachacha,21,1682153533,80791,01:20.791,20698,23323,36770,00:20.698,00:23.323,00:36.770
GasCan13,43,1682189304,80801,01:20.801,20695,23076,37030,00:20.695,00:23.076,00:37.030
GasCan13,31,1682188273,80862,01:20.862,20823,23246,36793,00:20.823,00:23.246,00:36.793
Yuval Rosen,87,1682192189,80878,01:20.878,20812,23207,36859,00:20.812,00:23.207,00:36.859
Daniel Lerman,28,1682018208,80923,01:20.923,20974,23197,36752,00:20.974,00:23.197,00:36.752
yarimalk23,217,1682175996,80927,01:20.927,20735,23239,36953,00:20.735,00:23.239,00:36.953
yarimalk23,210,1682121914,80936,01:20.936,20744,23275,36917,00:20.744,00:23.275,00:36.917
yarimalk23,230,1682177220,80936,01:20.936,20654,23491,36791,00:20.654,00:23.491,00:36.791
yarimalk23,202,1682115935,80959,01:20.959,20735,23315,36909,00:20.735,00:23.315,00:36.909
Yuval Rosen,94,1682193375,80962,01:20.962,20999,23130,36833,00:20.999,00:23.130,00:36.833
yarimalk23,231,1682177301,80989,01:20.989,20765,23221,37003,00:20.765,00:23.221,00:37.003
GasCan13,25,1682187676,81000,01,20740,23319,36941,00:20.740,00:23.319,00:36.941
chachacha,3,1681986700,81043,01:21.043,20806,23143,37094,00:20.806,00:23.143,00:37.094
Yuval Rosen,123,1682196966,81086,01:21.086,20822,23319,36945,00:20.822,00:23.319,00:36.945
GasCan13,24,1682187595,81102,01:21.102,20914,23269,36919,00:20.914,00:23.269,00:36.919
yarimalk23,195,1682115325,81112,01:21.112,20722,23278,37112,00:20.722,00:23.278,00:37.112
GasCan13,27,1682187844,81115,01:21.115,20878,23287,36950,00:20.878,00:23.287,00:36.950
GasCan13,18,1682186594,81146,01:21.146,20855,23356,36935,00:20.855,00:23.356,00:36.935
yarimalk23,165,1682096685,81148,01:21.148,20772,23458,36918,00:20.772,00:23.458,00:36.918
Daniel Lerman,18,1682015812,81171,01:21.171,20969,23328,36874,00:20.969,00:23.328,00:36.874
Yuval Rosen,122,1682196885,81172,01:21.172,20949,23310,36913,00:20.949,00:23.310,00:36.913
AryeMorZ,13,1682192058,81185,01:21.185,20885,23329,36971,00:20.885,00:23.329,00:36.971
yarimalk23,203,1682116016,81257,01:21.257,20859,23332,37066,00:20.859,00:23.332,00:37.066
Yuval Rosen,84,1682191886,81270,01:21.270,20996,23239,37035,00:20.996,00:23.239,00:37.035
Yuval Rosen,121,1682196803,81313,01:21.313,20973,23269,37071,00:20.973,00:23.269,00:37.071
GasCan13,15,1682185761,81324,01:21.324,20933,23576,36815,00:20.933,00:23.576,00:36.815
Yuval Rosen,90,1682192586,81332,01:21.332,20785,23670,36877,00:20.785,00:23.670,00:36.877
Yuval Rosen,53,1682188889,81338,01:21.338,20948,23333,37057,00:20.948,00:23.333,00:37.057
Daniel Lerman,23,1682017635,81372,01:21.372,21062,23464,36846,00:21.062,00:23.464,00:36.846
yarimalk23,160,1682095969,81377,01:21.377,21023,23302,37052,00:21.023,00:23.302,00:37.052
Yuval Rosen,119,1682196634,81380,01:21.380,21081,23539,36760,00:21.081,00:23.539,00:36.760
Yuval Rosen,117,1682196462,81416,01:21.416,20968,23432,37016,00:20.968,00:23.432,00:37.016
Yuval Rosen,103,1682194392,81455,01:21.455,21272,23283,36900,00:21.272,00:23.283,00:36.900
chachacha,13,1682152527,81457,01:21.457,20815,23278,37364,00:20.815,00:23.278,00:37.364
GasCan13,14,1682185679,81486,01:21.486,21005,23571,36910,00:21.005,00:23.571,00:36.910
GasCan13,60,1682190734,81493,01:21.493,20774,23229,37490,00:20.774,00:23.229,00:37.490
yarimalk23,135,1682089755,81498,01:21.498,20909,23302,37287,00:20.909,00:23.302,00:37.287
Yuval Rosen,74,1682190916,81516,01:21.516,21053,23621,36842,00:21.053,00:23.621,00:36.842
yarimalk23,187,1682114624,81554,01:21.554,20966,23437,37151,00:20.966,00:23.437,00:37.151
Yuval Rosen,93,1682193294,81572,01:21.572,21065,23338,37169,00:21.065,00:23.338,00:37.169
GasCan13,13,1682185598,81639,01:21.639,21010,23674,36955,00:21.010,00:23.674,00:36.955
yarimalk23,174,1682097706,81639,01:21.639,20956,23494,37189,00:20.956,00:23.494,00:37.189
yarimalk23,229,1682177139,81642,01:21.642,21184,23593,36865,00:21.184,00:23.593,00:36.865
yarimalk23,133,1682089584,81647,01:21.647,20983,23652,37012,00:20.983,00:23.652,00:37.012
yarimalk23,208,1682121749,81673,01:21.673,20928,23642,37103,00:20.928,00:23.642,00:37.103
Yuval Rosen,83,1682191805,81675,01:21.675,20916,23480,37279,00:20.916,00:23.480,00:37.279
GasCan13,21,1682187340,81683,01:21.683,21069,23426,37188,00:21.069,00:23.426,00:37.188
Yuval Rosen,114,1682196211,81703,01:21.703,20975,23454,37274,00:20.975,00:23.454,00:37.274
GasCan13,17,1682186513,81704,01:21.704,20901,23413,37390,00:20.901,00:23.413,00:37.390
