DriverName,LapNum,Timestamp,LapTime,LapTimeMins,S1,S2,S3,S1Mins,S2Mins,S3Mins
chachacha,97,1684097522,99440,01:39.440,21613,45697,32130,00:21.613,00:45.697,00:32.130
Yuval Rosen,178,1684093093,99560,01:39.560,21594,45674,32292,00:21.594,00:45.674,00:32.292
Yuval Rosen,181,1684093402,99610,01:39.610,21756,45773,32081,00:21.756,00:45.773,00:32.081
Yuval Rosen,177,1684092993,99623,01:39.623,21517,45769,32337,00:21.517,00:45.769,00:32.337
Yuval Rosen,175,1684092499,99667,01:39.667,21727,45720,32220,00:21.727,00:45.720,00:32.220
GasCan13,17,1684088075,99701,01:39.701,21591,45774,32336,00:21.591,00:45.774,00:32.336
chachacha,96,1684097422,99735,01:39.735,21772,45833,32130,00:21.772,00:45.833,00:32.130
Yuval Rosen,166,1684091516,99751,01:39.751,21626,45693,32432,00:21.626,00:45.693,00:32.432
GasCan13,30,1684093996,99763,01:39.763,21530,45855,32378,00:21.530,00:45.855,00:32.378
Yuval Rosen,170,1684091994,99768,01:39.768,21836,45702,32230,00:21.836,00:45.702,00:32.230
chachacha,65,1684083865,99836,01:39.836,21896,45730,32210,00:21.896,00:45.730,00:32.210
Yuval Rosen,173,1684092297,99841,01:39.841,21635,45878,32328,00:21.635,00:45.878,00:32.328
GasCan13,8,1684087154,99911,01:39.911,21810,45836,32265,00:21.810,00:45.836,00:32.265
chachacha,86,1684096392,99933,01:39.933,21947,45792,32194,00:21.947,00:45.792,00:32.194
chachacha,75,1684084977,99945,01:39.945,21910,45824,32211,00:21.910,00:45.824,00:32.211
GasCan13,23,1684093173,100012,01:40.012,21815,45752,32445,00:21.815,00:45.752,00:32.445
GasCan13,14,1684087771,100013,01:40.013,21691,45945,32377,00:21.691,00:45.945,00:32.377
GasCan13,31,1684094096,100027,01:40.027,21623,45910,32494,00:21.623,00:45.910,00:32.494
GasCan13,13,1684087671,100033,01:40.033,21679,45832,32522,00:21.679,00:45.832,00:32.522
GasCan13,10,1684087360,100054,01:40.054,21884,45792,32378,00:21.884,00:45.792,00:32.378
Yuval Rosen,155,1684054036,100085,01:40.085,21826,46102,32157,00:21.826,00:46.102,00:32.157
GasCan13,16,1684087975,100089,01:40.089,21775,46030,32284,00:21.775,00:46.030,00:32.284
GasCan13,21,1684092973,100091,01:40.091,21827,45918,32346,00:21.827,00:45.918,00:32.346
chachacha,56,1684011522,100096,01:40.096,21828,46052,32216,00:21.828,00:46.052,00:32.216
Yuval Rosen,168,1684091791,100096,01:40.096,21706,45931,32459,00:21.706,00:45.931,00:32.459
Yuval Rosen,140,1684052276,100099,01:40.099,21871,46116,32112,00:21.871,00:46.116,00:32.112
Yuval Rosen,146,1684052998,100099,01:40.099,21961,45824,32314,00:21.961,00:45.824,00:32.314
GasCan13,22,1684093073,100137,01:40.137,21675,45999,32463,00:21.675,00:45.999,00:32.463
Yuval Rosen,133,1684051500,100145,01:40.145,21868,46003,32274,00:21.868,00:46.003,00:32.274
Yuval Rosen,179,1684093193,100177,01:40.177,21724,45815,32638,00:21.724,00:45.815,00:32.638
Yuval Rosen,122,1684048482,100189,01:40.189,21871,46012,32306,00:21.871,00:46.012,00:32.306
Yuval Rosen,130,1684050697,100202,01:40.202,21767,46103,32332,00:21.767,00:46.103,00:32.332
Yuval Rosen,144,1684052795,100203,01:40.203,21907,46030,32266,00:21.907,00:46.030,00:32.266
Yuval Rosen,114,1684047596,100211,01:40.211,21767,46018,32426,00:21.767,00:46.018,00:32.426
Yuval Rosen,136,1684051805,100239,01:40.239,21790,46170,32279,00:21.790,00:46.170,00:32.279
Yuval Rosen,154,1684053936,100249,01:40.249,21963,45918,32368,00:21.963,00:45.918,00:32.368
Yuval Rosen,110,1684046967,100257,01:40.257,21804,46079,32374,00:21.804,00:46.079,00:32.374
Yuval Rosen,129,1684050597,100270,01:40.270,21880,46139,32251,00:21.880,00:46.139,00:32.251
Yuval Rosen,141,1684052376,100288,01:40.288,22056,46030,32202,00:22.056,00:46.030,00:32.202
Yuval Rosen,128,1684050496,100291,01:40.291,21905,45945,32441,00:21.905,00:45.945,00:32.441
Yuval Rosen,109,1684046867,100300,01:40.300,21807,46138,32355,00:21.807,00:46.138,00:32.355
Yuval Rosen,106,1684046502,100307,01:40.307,21967,45954,32386,00:21.967,00:45.954,00:32.386
Yuval Rosen,121,1684048382,100315,01:40.315,21992,46072,32251,00:21.992,00:46.072,00:32.251
chachacha,67,1684084160,100332,01:40.332,22022,46103,32207,00:22.022,00:46.103,00:32.207
GasCan13,6,1684086953,100358,01:40.358,22076,45824,32458,00:22.076,00:45.824,00:32.458
Yuval Rosen,152,1684053736,100383,01:40.383,21975,45999,32409,00:21.975,00:45.999,00:32.409
chachacha,14,1683816622,100384,01:40.384,21962,46017,32405,00:21.962,00:46.017,00:32.405
