DriverName,LapNum,Timestamp,LapTime,LapTimeMins,S1,S2,S3,S1Mins,S2Mins,S3Mins
Yuval Rosen,137,1684051905,100408,01:40.408,21879,45976,32553,00:21.879,00:45.976,00:32.553
Yuval Rosen,153,1684053836,100448,01:40.448,21928,46021,32499,00:21.928,00:46.021,00:32.499
Yuval Rosen,124,1684048683,100451,01:40.451,21967,46147,32337,00:21.967,00:46.147,00:32.337
chachacha,69,1684084365,100466,01:40.466,21851,46386,32229,00:21.851,00:46.386,00:32.229
Yuval Rosen,94,1684014743,100467,01:40.467,21910,46184,32373,00:21.910,00:46.184,00:32.373
Yuval Rosen,93,1684014642,100473,01:40.473,21938,46036,32499,00:21.938,00:46.036,00:32.499
chachacha,46,1684010503,100479,01:40.479,21931,46138,32410,00:21.931,00:46.138,00:32.410
Yuval Rosen,112,1684047395,100488,01:40.488,21962,46044,32482,00:21.962,00:46.044,00:32.482
Yuval Rosen,91,1684014440,100489,01:40.489,21752,46215,32522,00:21.752,00:46.215,00:32.522
chachacha,63,1684083657,100500,01:40.500,22002,46160,32338,00:22.002,00:46.160,00:32.338
Yuval Rosen,82,1684012110,100509,01:40.509,21839,46233,32437,00:21.839,00:46.233,00:32.437
Yuval Rosen,113,1684047495,100525,01:40.525,22022,46018,32485,00:22.022,00:46.018,00:32.485
Yuval Rosen,71,1684010268,100537,01:40.537,21890,46180,32467,00:21.890,00:46.180,00:32.467
chachacha,53,1684011218,100546,01:40.546,21918,45985,32643,00:21.918,00:45.985,00:32.643
Yuval Rosen,123,1684048582,100553,01:40.553,21965,46072,32516,00:21.965,00:46.072,00:32.516
Yuval Rosen,103,1684046187,100564,01:40.564,21931,45932,32701,00:21.931,00:45.932,00:32.701
chachacha,27,1683821102,100570,01:40.570,21986,46143,32441,00:21.986,00:46.143,00:32.441
Yuval Rosen,31,1684004284,100589,01:40.589,21795,46296,32498,00:21.795,00:46.296,00:32.498
chachacha,18,1683817436,100590,01:40.590,21984,46206,32400,00:21.984,00:46.206,00:32.400
chachacha,52,1684011117,100598,01:40.598,22033,46242,32323,00:22.033,00:46.242,00:32.323
chachacha,62,1684083557,100606,01:40.606,22189,45985,32432,00:22.189,00:45.985,00:32.432
chachacha,81,1684085867,100621,01:40.621,21907,46301,32413,00:21.907,00:46.301,00:32.413
Yuval Rosen,139,1684052175,100624,01:40.624,22329,46071,32224,00:22.329,00:46.071,00:32.224
yarimalk23,111,1683931018,100626,01:40.626,21921,46340,32365,00:21.921,00:46.340,00:32.365
chachacha,40,1684009780,100655,01:40.655,22045,46112,32498,00:22.045,00:46.112,00:32.498
yarimalk23,132,1683934817,100658,01:40.658,22008,46381,32269,00:22.008,00:46.381,00:32.269
chachacha,91,1684096916,100660,01:40.660,21816,45711,33133,00:21.816,00:45.711,00:33.133
yarimalk23,114,1683931329,100664,01:40.664,22050,46259,32355,00:22.050,00:46.259,00:32.355
Yuval Rosen,143,1684052695,100684,01:40.684,21965,46386,32333,00:21.965,00:46.386,00:32.333
GasCan13,29,1684093896,100697,01:40.697,22200,46161,32336,00:22.200,00:46.161,00:32.336
GasCan13,4,1684086605,100703,01:40.703,22111,46147,32445,00:22.111,00:46.147,00:32.445
chachacha,45,1684010403,100709,01:40.709,22004,46274,32431,00:22.004,00:46.274,00:32.431
chachacha,51,1684011017,100711,01:40.711,22101,46183,32427,00:22.101,00:46.183,00:32.427
Yuval Rosen,183,1684093610,100713,01:40.713,21917,46009,32787,00:21.917,00:46.009,00:32.787
Yuval Rosen,87,1684012755,100722,01:40.722,21917,46238,32567,00:21.917,00:46.238,00:32.567
yarimalk23,96,1683905380,100734,01:40.734,21939,46404,32391,00:21.939,00:46.404,00:32.391
chachacha,8,1683815818,100736,01:40.736,21959,46328,32449,00:21.959,00:46.328,00:32.449
Yuval Rosen,161,1684090975,100736,01:40.736,22166,45981,32589,00:22.166,00:45.981,00:32.589
Yuval Rosen,57,1684007984,100759,01:40.759,21951,46246,32562,00:21.951,00:46.246,00:32.562
chachacha,6,1683636378,100777,01:40.777,22072,46228,32477,00:22.072,00:46.228,00:32.477
chachacha,10,1683816020,100778,01:40.778,22123,46156,32499,00:22.123,00:46.156,00:32.499
Yuval Rosen,90,1684014339,100788,01:40.788,21902,46170,32716,00:21.902,00:46.170,00:32.716
Yuval Rosen,184,1684093711,100808,01:40.808,22068,45517,33223,00:22.068,00:45.517,00:33.223
chachacha,22,1683820508,100809,01:40.809,22059,46178,32572,00:22.059,00:46.178,00:32.572
Yuval Rosen,125,1684048784,100816,01:40.816,22012,46170,32634,00:22.012,00:46.170,00:32.634
Yuval Rosen,86,1684012654,100823,01:40.823,22015,46237,32571,00:22.015,00:46.237,00:32.571
Yuval Rosen,160,1684090874,100857,01:40.857,21886,45846,33125,00:21.886,00:45.846,00:33.125
GasCan13,7,1684087054,100865,01:40.865,22066,46391,32408,00:22.066,00:46.391,00:32.408
yarimalk23,128,1683934399,100869,01:40.869,21974,46494,32401,00:21.974,00:46.494,00:32.401
yarimalk23,145,1684007815,100871,01:40.871,22009,46364,32498,00:22.009,00:46.364,00:32.498
yarimalk23,118,1683931741,100873,01:40.873,22064,46369,32440,00:22.064,00:46.369,00:32.440
chachacha,23,1683820609,100876,01:40.876,22036,46489,32351,00:22.036,00:46.489,00:32.351
Yuval Rosen,36,1684005531,100885,01:40.885,21910,46292,32683,00:21.910,00:46.292,00:32.683
Yuval Rosen,74,1684011007,100889,01:40.889,21986,46207,32696,00:21.986,00:46.207,00:32.696
yarimalk23,161,1684026872,100898,01:40.898,21950,46387,32561,00:21.950,00:46.387,00:32.561
Yuval Rosen,120,1684048281,100900,01:40.900,22213,46098,32589,00:22.213,00:46.098,00:32.589
Yuval Rosen,80,1684011784,100902,01:40.902,22071,46215,32616,00:22.071,00:46.215,00:32.616
yarimalk23,113,1683931228,100929,01:40.929,22052,46409,32468,00:22.052,00:46.409,00:32.468
chachacha,9,1683815919,100942,01:40.942,22070,46369,32503,00:22.070,00:46.369,00:32.503
yarimalk23,63,1683845794,100951,01:40.951,21989,46522,32440,00:21.989,00:46.522,00:32.440
yarimalk23,90,1683904761,100951,01:40.951,21890,46287,32774,00:21.890,00:46.287,00:32.774
ilaishimony1,175,1684007889,100963,01:40.963,22164,46134,32665,00:22.164,00:46.134,00:32.665
Daniel Lerman,72,1683897238,100964,01:40.964,22012,46449,32503,00:22.012,00:46.449,00:32.503
Yuval Rosen,101,1684045985,100975,01:40.975,22319,46125,32531,00:22.319,00:46.125,00:32.531
yarimalk23,93,1683905073,100976,01:40.976,21948,46543,32485,00:21.948,00:46.543,00:32.485
Daniel Lerman,67,1683896642,100982,01:40.982,21958,46454,32570,00:21.958,00:46.454,00:32.570
Yuval Rosen,108,1684046767,100992,01:40.992,22053,46043,32896,00:22.053,00:46.043,00:32.896
Yuval Rosen,172,1684092197,101007,01:41.007,21982,45959,33066,00:21.982,00:45.959,00:33.066
Yuval Rosen,185,1684093812,101009,01:41.009,21544,45792,33673,00:21.544,00:45.792,00:33.673
chachacha,28,1683821203,101017,01:41.017,21957,46246,32814,00:21.957,00:46.246,00:32.814
Yuval Rosen,117,1684047976,101052,01:41.052,22045,46058,32949,00:22.045,00:46.058,00:32.949
Daniel Lerman,65,1683896342,101061,01:41.061,22122,46376,32563,00:22.122,00:46.376,00:32.563
yarimalk23,129,1683934500,101069,01:41.069,21946,46354,32769,00:21.946,00:46.354,00:32.769
ilaishimony1,172,1684007578,101070,01:41.070,22175,46036,32859,00:22.175,00:46.036,00:32.859
Yuval Rosen,165,1684091416,101070,01:41.070,22067,45576,33427,00:22.067,00:45.576,00:33.427
Yuval Rosen,134,1684051601,101077,01:41.077,22017,46152,32908,00:22.017,00:46.152,00:32.908
yarimalk23,121,1683932049,101091,01:41.091,21904,46400,32787,00:21.904,00:46.400,00:32.787
Yuval Rosen,38,1684005738,101100,01:41.100,21990,46610,32500,00:21.990,00:46.610,00:32.500
chachacha,80,1684085766,101104,01:41.104,22187,46278,32639,00:22.187,00:46.278,00:32.639
yarimalk23,46,1683843967,101139,01:41.139,22015,46399,32725,00:22.015,00:46.399,00:32.725
Yuval Rosen,56,1684007883,101142,01:41.142,21977,46540,32625,00:21.977,00:46.540,00:32.625
Daniel Lerman,59,1683895524,101143,01:41.143,22051,46386,32706,00:22.051,00:46.386,00:32.706
yarimalk23,107,1683906570,101144,01:41.144,21908,46585,32651,00:21.908,00:46.585,00:32.651
Daniel Lerman,63,1683896133,101151,01:41.151,22086,46503,32562,00:22.086,00:46.503,00:32.562
yarimalk23,126,1683934193,101165,01:41.165,22105,46499,32561,00:22.105,00:46.499,00:32.561
yarimalk23,86,1683904351,101174,01:41.174,21912,46345,32917,00:21.912,00:46.345,00:32.917
Yuval Rosen,102,1684046086,101174,01:41.174,22352,46332,32490,00:22.352,00:46.332,00:32.490
yarimalk23,85,1683904250,101215,01:41.215,21961,46647,32607,00:21.961,00:46.647,00:32.607
Daniel Lerman,71,1683897137,101219,01:41.219,21920,46526,32773,00:21.920,00:46.526,00:32.773
chachacha,37,1683822220,101221,01:41.221,22062,46664,32495,00:22.062,00:46.664,00:32.495
yarimalk23,157,1684026441,101233,01:41.233,22024,46611,32598,00:22.024,00:46.611,00:32.598
yarimalk23,87,1683904453,101235,01:41.235,22102,46471,32662,00:22.102,00:46.471,00:32.662
yarimalk23,34,1683834653,101253,01:41.253,22021,46688,32544,00:22.021,00:46.688,00:32.544
yarimalk23,164,1684027387,101254,01:41.254,22036,46445,32773,00:22.036,00:46.445,00:32.773
ilaishimony1,168,1684007135,101255,01:41.255,22145,46274,32836,00:22.145,00:46.274,00:32.836
Yuval Rosen,34,1684005327,101266,01:41.266,21886,46498,32882,00:21.886,00:46.498,00:32.882
yarimalk23,140,1684007304,101268,01:41.268,22022,46427,32819,00:22.022,00:46.427,00:32.819
A.C,136,1684096028,101272,01:41.272,22396,46143,32733,00:22.396,00:46.143,00:32.733
yarimalk23,101,1683905894,101284,01:41.284,21989,46467,32828,00:21.989,00:46.467,00:32.828
chachacha,74,1684084877,101307,01:41.307,22151,45999,33157,00:22.151,00:45.999,00:33.157
chachacha,44,1684010302,101319,01:41.319,22685,46288,32346,00:22.685,00:46.288,00:32.346
yarimalk23,99,1683905690,101329,01:41.329,22021,46643,32665,00:22.021,00:46.643,00:32.665
yarimalk23,116,1683931534,101337,01:41.337,21898,46426,33013,00:21.898,00:46.426,00:33.013
chachacha,95,1684097323,101338,01:41.338,21913,45941,33484,00:21.913,00:45.941,00:33.484
Yuval Rosen,66,1684009756,101365,01:41.365,21953,46634,32778,00:21.953,00:46.634,00:32.778
Daniel Lerman,69,1683896908,101366,01:41.366,22131,46372,32863,00:22.131,00:46.372,00:32.863
yarimalk23,80,1683903740,101368,01:41.368,22204,46607,32557,00:22.204,00:46.607,00:32.557
Yuval Rosen,55,1684007782,101370,01:41.370,21909,46588,32873,00:21.909,00:46.588,00:32.873
chachacha,35,1683822015,101391,01:41.391,21988,46571,32832,00:21.988,00:46.571,00:32.832
yarimalk23,82,1683903944,101412,01:41.412,21978,46610,32824,00:21.978,00:46.610,00:32.824
yarimalk23,160,1684026771,101436,01:41.436,21880,46656,32900,00:21.880,00:46.656,00:32.900
Daniel Lerman,37,1683833793,101439,01:41.439,22265,46328,32846,00:22.265,00:46.328,00:32.846
yarimalk23,152,1684025917,101441,01:41.441,22079,46495,32867,00:22.079,00:46.495,00:32.867
chachacha,94,1684097221,101456,01:41.456,22013,46044,33399,00:22.013,00:46.044,00:33.399
A.C,117,1684093498,101463,01:41.463,22182,46457,32824,00:22.182,00:46.457,00:32.824
ilaishimony1,108,1683920963,101475,01:41.475,22031,46373,33071,00:22.031,00:46.373,00:33.071
yarimalk23,106,1683906469,101489,01:41.489,22123,46786,32580,00:22.123,00:46.786,00:32.580
A.C,58,1683919271,101506,01:41.506,22131,46575,32800,00:22.131,00:46.575,00:32.800
Yuval Rosen,158,1684090489,101514,01:41.514,22561,45981,32972,00:22.561,00:45.981,00:32.972
Ido,69,1683982703,101518,01:41.518,22269,46174,33075,00:22.269,00:46.174,00:33.075
yarimalk23,94,1683905174,101523,01:41.523,22071,46444,33008,00:22.071,00:46.444,00:33.008
Yuval Rosen,18,1683999504,101527,01:41.527,21908,46783,32836,00:21.908,00:46.783,00:32.836
Yuval Rosen,25,1684003668,101531,01:41.531,21855,46448,33228,00:21.855,00:46.448,00:33.228
Yuval Rosen,48,1684006817,101533,01:41.533,21829,46651,33053,00:21.829,00:46.651,00:33.053
Yuval Rosen,50,1684007024,101533,01:41.533,22144,46373,33016,00:22.144,00:46.373,00:33.016
Daniel Lerman,61,1683895930,101535,01:41.535,22146,46646,32743,00:22.146,00:46.646,00:32.743
Yuval Rosen,84,1684012449,101540,01:41.540,21940,46633,32967,00:21.940,00:46.633,00:32.967
GasCan13,25,1684093379,101543,01:41.543,22712,45946,32885,00:22.712,00:45.946,00:32.885
chachacha,70,1684084466,101549,01:41.549,21963,45882,33704,00:21.963,00:45.882,00:33.704
chachacha,78,1684085562,101562,01:41.562,22591,46426,32545,00:22.591,00:46.426,00:32.545
Yuval Rosen,33,1684005226,101585,01:41.585,21953,46549,33083,00:21.953,00:46.549,00:33.083
A.C,131,1684095511,101591,01:41.591,22535,46368,32688,00:22.535,00:46.368,00:32.688
yarimalk23,42,1683843543,101596,01:41.596,22230,46557,32809,00:22.230,00:46.557,00:32.809
chachacha,12,1683816420,101608,01:41.608,22286,46072,33250,00:22.286,00:46.072,00:33.250
chachacha,61,1684083456,101610,01:41.610,22000,46350,33260,00,00:46.350,00:33.260
yarimalk23,120,1683931948,101612,01:41.612,22026,47079,32507,00:22.026,00:47.079,00:32.507
chachacha,34,1683821913,101626,01:41.626,22201,46355,33070,00:22.201,00:46.355,00:33.070
Yuval Rosen,62,1684008877,101640,01:41.640,22080,46467,33093,00:22.080,00:46.467,00:33.093
Yuval Rosen,21,1683999812,101641,01:41.641,22022,46472,33147,00:22.022,00:46.472,00:33.147
A.C,142,1684096651,101650,01:41.650,22185,46215,33250,00:22.185,00:46.215,00:33.250
yarimalk23,162,1684026974,101657,01:41.657,22097,47026,32534,00:22.097,00:47.026,00:32.534
Daniel Lerman,39,1683834121,101659,01:41.659,22617,46408,32634,00:22.617,00:46.408,00:32.634
Yuval Rosen,30,1684004184,101659,01:41.659,22297,46399,32963,00:22.297,00:46.399,00:32.963
yarimalk23,141,1684007406,101686,01:41.686,21951,46602,33133,00:21.951,00:46.602,00:33.133
yarimalk23,109,1683930815,101689,01:41.689,22039,46570,33080,00:22.039,00:46.570,00:33.080
chachacha,73,1684084776,101699,01:41.699,21798,47268,32633,00:21.798,00:47.268,00:32.633
Daniel Lerman,31,1683832901,101709,01:41.709,22450,46435,32824,00:22.450,00:46.435,00:32.824
Yuval Rosen,119,1684048180,101716,01:41.716,22075,47246,32395,00:22.075,00:47.246,00:32.395
yarimalk23,73,1683895171,101729,01:41.729,22039,47011,32679,00:22.039,00:47.011,00:32.679
A.C,61,1683919578,101730,01:41.730,22376,46526,32828,00:22.376,00:46.526,00:32.828
Yuval Rosen,47,1684006716,101733,01:41.733,22019,46558,33156,00:22.019,00:46.558,00:33.156
yarimalk23,136,1684006890,101745,01:41.745,22207,46939,32599,00:22.207,00:46.939,00:32.599
Yuval Rosen,174,1684092399,101746,01:41.746,22762,46111,32873,00:22.762,00:46.111,00:32.873
Daniel Lerman,51,1683836669,101747,01:41.747,22309,46386,33052,00:22.309,00:46.386,00:33.052
A.C,133,1684095720,101749,01:41.749,22167,46575,33007,00:22.167,00:46.575,00:33.007
chachacha,47,1684010605,101767,01:41.767,23309,46094,32364,00:23.309,00:46.094,00:32.364
A.C,140,1684096447,101771,01:41.771,22167,46615,32989,00:22.167,00:46.615,00:32.989
yarimalk23,158,1684026543,101773,01:41.773,22065,46309,33399,00:22.065,00:46.309,00:33.399
yarimalk23,91,1683904863,101787,01:41.787,22182,46701,32904,00:22.182,00:46.701,00:32.904
A.C,62,1683919680,101798,01:41.798,22221,46575,33002,00:22.221,00:46.575,00:33.002
chachacha,93,1684097120,101799,01:41.799,22130,46044,33625,00:22.130,00:46.044,00:33.625
yarimalk23,53,1683844713,101799,01:41.799,22230,46633,32936,00:22.230,00:46.633,00:32.936
chachacha,59,1684083252,101801,01:41.801,22862,46378,32561,00:22.862,00:46.378,00:32.561
yarimalk23,60,1683845484,101801,01:41.801,22115,47147,32539,00:22.115,00:47.147,00:32.539
chachacha,13,1683816522,101804,01:41.804,22091,46292,33421,00:22.091,00:46.292,00:33.421
A.C,151,1684097604,101805,01:41.805,22186,46588,33031,00:22.186,00:46.588,00:33.031
yarimalk23,105,1683906367,101806,01:41.806,21990,46998,32818,00:21.990,00:46.998,00:32.818
A.C,60,1683919477,101816,01:41.816,22279,46615,32922,00:22.279,00:46.615,00:32.922
yarimalk23,49,1683844276,101819,01:41.819,22152,46759,32908,00:22.152,00:46.759,00:32.908
yarimalk23,47,1683844069,101834,01:41.834,22171,46831,32832,00:22.171,00:46.831,00:32.832
Ido,67,1683982494,101858,01:41.858,22389,46458,33011,00:22.389,00:46.458,00:33.011
A.C,28,1683908905,101864,01:41.864,22246,46597,33021,00:22.246,00:46.597,00:33.021
Daniel Lerman,28,1683832508,101881,01:41.881,22546,46624,32711,00:22.546,00:46.624,00:32.711
A.C,141,1684096549,101883,01:41.883,22206,46610,33067,00:22.206,00:46.610,00:33.067
ilaishimony1,143,1684002807,101888,01:41.888,22562,46544,32782,00:22.562,00:46.544,00:32.782
Daniel Lerman,21,1683831563,101892,01:41.892,22845,46471,32576,00:22.845,00:46.471,00:32.576
chachacha,55,1684011422,101897,01:41.897,21968,46683,33246,00:21.968,00:46.683,00:33.246
yarimalk23,33,1683834552,101900,01:41.900,22259,46594,33047,00:22.259,00:46.594,00:33.047
yarimalk23,143,1684007611,101906,01:41.906,22031,47156,32719,00:22.031,00:47.156,00:32.719
Daniel Lerman,20,1683831462,101906,01:41.906,22580,46535,32791,00:22.580,00:46.535,00:32.791
Yuval Rosen,151,1684053635,101911,01:41.911,21888,46043,33980,00:21.888,00:46.043,00:33.980
ilaishimony1,182,1684009327,101916,01:41.916,22558,46390,32968,00:22.558,00:46.390,00:32.968
ilaishimony1,153,1684004221,101920,01:41.920,22288,46417,33215,00:22.288,00:46.417,00:33.215
chachacha,92,1684097018,101922,01:41.922,22389,45900,33633,00:22.389,00:45.900,00:33.633
yarimalk23,110,1683930917,101926,01:41.926,21988,46427,33511,00:21.988,00:46.427,00:33.511
chachacha,41,1684009882,101928,01:41.928,22134,46997,32797,00:22.134,00:46.997,00:32.797
ilaishimony1,132,1684001606,101929,01:41.929,22274,46634,33021,00:22.274,00:46.634,00:33.021
Daniel Lerman,58,1683895423,101929,01:41.929,22527,46602,32800,00:22.527,00:46.602,00:32.800
yarimalk23,81,1683903842,101940,01:41.940,22091,47044,32805,00:22.091,00:47.044,00:32.805
yarimalk23,83,1683904046,101947,01:41.947,22689,46390,32868,00:22.689,00:46.390,00:32.868
Yuval Rosen,92,1684014542,101953,01:41.953,22757,46796,32400,00:22.757,00:46.796,00:32.400
ilaishimony1,151,1684003667,101956,01:41.956,22130,46215,33611,00:22.130,00:46.215,00:33.611
A.C,56,1683919066,101960,01:41.960,22301,46715,32944,00:22.301,00:46.715,00:32.944
Daniel Lerman,48,1683836283,101966,01:41.966,22294,46719,32953,00:22.294,00:46.719,00:32.953
Yuval Rosen,67,1684009858,101971,01:41.971,22100,46558,33313,00:22.100,00:46.558,00:33.313
Daniel Lerman,44,1683835875,101973,01:41.973,22539,46615,32819,00:22.539,00:46.615,00:32.819
Elad Levy,28,1683831198,101976,01:41.976,22227,46471,33278,00:22.227,00:46.471,00:33.278
Daniel Lerman,57,1683895321,101976,01:41.976,22348,46314,33314,00:22.348,00:46.314,00:33.314
Daniel Lerman,45,1683835977,101979,01:41.979,22544,46593,32842,00:22.544,00:46.593,00:32.842
ilaishimony1,155,1684005744,101988,01:41.988,22445,46211,33332,00:22.445,00:46.211,00:33.332
Ido,59,1683980522,101994,01:41.994,22488,46453,33053,00:22.488,00:46.453,00:33.053
chachacha,87,1684096494,101996,01:41.996,22378,47173,32445,00:22.378,00:47.173,00:32.445
Daniel Lerman,30,1683832799,102003,01:42.003,22362,46521,33120,00:22.362,00:46.521,00:33.120
Yuval Rosen,70,1684010167,102011,01:42.011,21979,46391,33641,00:21.979,00:46.391,00:33.641
Yuval Rosen,98,1684015264,102013,01:42.013,21935,46026,34052,00:21.935,00:46.026,00:34.052
leviarnon1,76,1683984768,102015,01:42.015,22212,46728,33075,00:22.212,00:46.728,00:33.075
Yuval Rosen,44,1684006407,102016,01:42.016,22132,46588,33296,00:22.132,00:46.588,00:33.296
Talsha Widebody (Tal),9,1684086322,102021,01:42.021,22776,46484,32761,00:22.776,00:46.484,00:32.761
ilaishimony1,99,1683919939,102029,01:42.029,22272,46647,33110,00:22.272,00:46.647,00:33.110
A.C,101,1684091812,102051,01:42.051,22576,46562,32913,00:22.576,00:46.562,00:32.913
Ido,61,1683980733,102053,01:42.053,22331,46378,33344,00:22.331,00:46.378,00:33.344
A.C,130,1684095410,102063,01:42.063,22363,46242,33458,00:22.363,00:46.242,00:33.458
yarimalk23,89,1683904660,102065,01:42.065,21970,46570,33525,00:21.970,00:46.570,00:33.525
chachacha,20,1683820301,102083,01:42.083,22429,46701,32953,00:22.429,00:46.701,00:32.953
Daniel Lerman,62,1683896032,102087,01:42.087,22036,46714,33337,00:22.036,00:46.714,00:33.337
ilaishimony1,164,1684006713,102089,01:42.089,22570,46553,32966,00:22.570,00:46.553,00:32.966
A.C,125,1684094867,102091,01:42.091,22472,46373,33246,00:22.472,00:46.373,00:33.246
Yuval Rosen,127,1684050396,102093,01:42.093,23378,46103,32612,00:23.378,00:46.103,00:32.612
Daniel Lerman,42,1683834532,102095,01:42.095,22630,46526,32939,00:22.630,00:46.526,00:32.939
yarimalk23,41,1683843442,102096,01:42.096,22491,46728,32877,00:22.491,00:46.728,00:32.877
Daniel Lerman,19,1683831360,102099,01:42.099,22511,46828,32760,00:22.511,00:46.828,00:32.760
A.C,27,1683908803,102101,01:42.101,22101,46880,33120,00:22.101,00:46.880,00:33.120
A.C,75,1683921022,102106,01:42.106,22424,46792,32890,00:22.424,00:46.792,00:32.890
Bruh2006,28,1683897735,102123,01:42.123,22648,46471,33004,00:22.648,00:46.471,00:33.004
A.C,148,1684097295,102134,01:42.134,21985,46777,33372,00:21.985,00:46.777,00:33.372
ilaishimony1,174,1684007788,102145,01:42.145,22499,46485,33161,00:22.499,00:46.485,00:33.161
A.C,153,1684097931,102146,01:42.146,22267,46836,33043,00:22.267,00:46.836,00:33.043
A.C,119,1684094023,102167,01:42.167,22310,46675,33182,00:22.310,00:46.675,00:33.182
chachacha,60,1684083355,102171,01:42.171,22800,46871,32500,00:22.800,00:46.871,00:32.500
